firm_id,year,industry,province,treated,post,digital,treated_post,adoption_year,relative_year,firm_size,capital_intensity,export_share,soe,managerial_capability,log_tfp,labor_productivity
1,2016,electronics,central,1,0,0,0,2020,-4,40.42665129313613,0.7006995497647455,0.5274000468538905,0,1.9009285993789524,1.7086760950985245,5.575923319065161
1,2017,electronics,central,1,0,0,0,2020,-3,42.07649423041473,0.5347044259848506,0.5274000468538905,0,1.9009285993789524,1.91551032433411,6.630666286303098
1,2018,electronics,central,1,0,0,0,2020,-2,43.79366853525951,0.7852783077565076,0.5274000468538905,0,1.9009285993789524,1.890604978276074,6.778628844543285
1,2019,electronics,central,1,0,0,0,2020,-1,45.580922052908285,0.5575170078246492,0.5274000468538905,0,1.9009285993789524,1.9399291935141565,6.8417897908291465
1,2020,electronics,central,1,1,1,1,2020,0,47.441114770290376,0.6446919989801979,0.5274000468538905,0,1.9009285993789524,2.106139249770401,8.105297662176648
1,2021,electronics,central,1,1,1,1,2020,1,49.37722339261587,0.7351328356627217,0.5274000468538905,0,1.9009285993789524,2.039146233263437,7.592411961049737
1,2022,electronics,central,1,1,1,1,2020,2,51.392346106739026,0.7536757284586868,0.5274000468538905,0,1.9009285993789524,2.1262035159562065,8.72861006153489
1,2023,electronics,central,1,1,1,1,2020,3,53.48970753891821,0.6055080019714905,0.5274000468538905,0,1.9009285993789524,2.230668955157256,9.6738593913038
1,2024,electronics,central,1,1,1,1,2020,4,55.6726639149059,0.7673541494519073,0.5274000468538905,0,1.9009285993789524,2.2835410067416353,10.04630409104836
2,2016,textile,coastal,1,0,0,0,2020,-4,13.785348601781232,0.6299476313491733,0.31188035250045076,0,0.5062973817627888,1.4502114025461978,4.03294837150253
2,2017,textile,coastal,1,0,0,0,2020,-3,14.347939350731881,0.6046171281644535,0.31188035250045076,0,0.5062973817627888,1.5667853799438942,4.766154825972769
2,2018,textile,coastal,1,0,0,0,2020,-2,14.933489863700682,0.650446801797742,0.31188035250045076,0,0.5062973817627888,1.6139277191384949,4.946775310972776
2,2019,textile,coastal,1,0,0,0,2020,-1,15.542937146432488,0.4862824311643104,0.31188035250045076,0,0.5062973817627888,1.5735414148945341,4.6641863470601415
2,2020,textile,coastal,1,1,1,1,2020,0,16.177256444602026,0.5294713948868869,0.31188035250045076,0,0.5062973817627888,1.7076483253265968,5.620033668059028
2,2021,textile,coastal,1,1,1,1,2020,1,16.837462804415036,0.7318357593049201,0.31188035250045076,0,0.5062973817627888,1.794976110062325,6.190921052971345
2,2022,textile,coastal,1,1,1,1,2020,2,17.524612696898757,0.4717301128423461,0.31188035250045076,0,0.5062973817627888,1.8938271733464715,6.546620118796773
2,2023,textile,coastal,1,1,1,1,2020,3,18.23980570848095,0.6000467680146159,0.31188035250045076,0,0.5062973817627888,1.7528156886206676,5.67212823761839
2,2024,textile,coastal,1,1,1,1,2020,4,18.9841863005628,0.4886587534263695,0.31188035250045076,0,0.5062973817627888,1.9432093390467176,7.402270888805707
3,2016,machinery,central,1,0,0,0,2020,-4,21.503288398301034,0.5266072666241395,0.12345851730210389,0,0.30297852479414034,1.3983265767504065,4.19161333604305
3,2017,machinery,central,1,0,0,0,2020,-3,22.3808542455179,0.6905567054222689,0.12345851730210389,0,0.30297852479414034,1.4763599958817797,4.35545114285437
