managerial_capability,ai_setup_cost,ai_intensity,adopt_ai,net_benefit_if_adopt,productivity_gain,productivity_level
-1.5,0.21,0,0,-0.0793217631990829,0,1
-1.45,0.205,0,0,-0.072025471557136,0,1
-1.4,0.2,0,0,-0.064709179915189,0,1
-1.35,0.195,0,0,-0.057372888273242,0,1
-1.3,0.19,0,0,-0.050016596631295,0,1
-1.25,0.185,0,0,-0.042640304989348,0,1
-1.2,0.18,0,0,-0.035244013347401,0,1
-1.15,0.175,0,0,-0.027827721705454,0,1
-1.1,0.17,0,0,-0.020391430063507,0,1
-1.05,0.165,0,0,-0.01293513842156,0,1
-1,0.16,0,0,-0.005458846779613,0,1
-0.95,0.155,0.417715273657832,1,0.00203744486233398,0.00203744486233398,1.00203952186347
-0.9,0.15,0.421048606991166,1,0.00955373650428096,0.00955373650428096,1.0095995191271
-0.85,0.145,0.424381940324499,1,0.017090028146228,0.017090028146228,1.01723689815519
-0.8,0.14,0.427715273657832,1,0.024646319788175,0.024646319788175,1.02495255097603
-0.75,0.135,0.431048606991166,1,0.032222611430122,0.032222611430122,1.03274738108914
-0.7,0.13,0.434381940324499,1,0.039818903072069,0.039818903072069,1.04062230362486
-0.65,0.125,0.437715273657832,1,0.047435194714016,0.047435194714016,1.04857824550629
-0.6,0.12,0.441048606991166,1,0.0550714863559629,0.0550714863559629,1.05661614561365
-0.55,0.115,0.444381940324499,1,0.0627277779979099,0.0627277779979099,1.06473695495108
-0.5,0.11,0.447715273657832,1,0.0704040696398569,0.0704040696398569,1.07294163681598
-0.45,0.105,0.451048606991166,1,0.0781003612818039,0.0781003612818039,1.08123116697082
-0.4,0.1,0.454381940324499,1,0.0858166529237509,0.0858166529237509,1.08960653381758
-0.35,0.095,0.457715273657832,1,0.0935529445656979,0.0935529445656979,1.09806873857478
-0.3,0.09,0.461048606991166,1,0.101309236207645,0.101309236207645,1.10661879545716
-0.25,0.085,0.464381940324499,1,0.109085527849592,0.109085527849592,1.11525773185805
-0.2,0.08,0.467715273657832,1,0.116881819491539,0.116881819491539,1.12398658853454
-0.15,0.075,0.471048606991166,1,0.124698111133486,0.124698111133486,1.13280641979535
-0.1,0.07,0.474381940324499,1,0.132534402775433,0.132534402775433,1.14171829369162
-0.05,0.065,0.477715273657832,1,0.14039069441738,0.14039069441738,1.15072329221045
0,0.06,0.481048606991166,1,0.148266986059327,0.148266986059327,1.15982251147153
0.05,0.06,0.484381940324499,1,0.151163277701274,0.151163277701274,1.1631865650061
0.1,0.06,0.487715273657832,1,0.154079569343221,0.154079569343221,1.16658370738496
0.15,0.06,0.491048606991166,1,0.157015860985168,0.157015860985168,1.17001417133116
0.2,0.06,0.494381940324499,1,0.159972152627115,0.159972152627115,1.17347819225201
0.25,0.06,0.497715273657832,1,0.162948444269062,0.162948444269062,1.17697600826584
0.3,0.06,0.501048606991166,1,0.165944735911009,0.165944735911009,1.18050786022909
0.35,0.06,0.504381940324499,1,0.168961027552956,0.168961027552956,1.1840739917638
0.4,0.06,0.507715273657832,1,0.171997319194903,0.171997319194903,1.18767464928538
0.45,0.06,0.511048606991166,1,0.17505361083685,0.17505361083685,1.19131008203085
0.5,0.06,0.514381940324499,1,0.178129902478797,0.178129902478797,1.19498054208733
0.55,0.06,0.517715273657832,1,0.181226194120744,0.181226194120744,1.198686284421
0.6,0.06,0.521048606991166,1,0.184342485762691,0.184342485762691,1.20242756690641
0.65,0.06,0.524381940324499,1,0.187478777404638,0.187478777404638,1.20620465035612
0.7,0.06,0.527715273657832,1,0.190635069046585,0.190635069046585,1.2100177985508
0.75,0.06,0.531048606991166,1,0.193811360688532,0.193811360688532,1.21386727826968
0.8,0.06,0.534381940324499,1,0.197007652330479,0.197007652330479,1.2177533593214
0.85,0.06,0.537715273657832,1,0.200223943972426,0.200223943972426,1.22167631457528
0.9,0.06,0.541048606991166,1,0.203460235614373,0.203460235614373,1.22563641999296
0.95,0.06,0.544381940324499,1,0.20671652725632,0.20671652725632,1.22963395466051
1,0.06,0.547715273657832,1,0.209992818898267,0.209992818898267,1.2336692008209
1.05,0.06,0.551048606991166,1,0.213289110540214,0.213289110540214,1.2377424439069
1.1,0.06,0.554381940324499,1,0.216605402182161,0.216605402182161,1.24185397257444
1.15,0.06,0.557715273657832,1,0.219941693824108,0.219941693824108,1.2460040787364
1.2,0.06,0.561048606991166,1,0.223297985466055,0.223297985466055,1.25019305759677
1.25,0.06,0.564381940324499,1,0.226674277108002,0.226674277108002,1.25442120768534
1.3,0.06,0.567715273657832,1,0.230070568749949,0.230070568749949,1.25868883089282
1.35,0.06,0.571048606991166,1,0.233486860391896,0.233486860391896,1.26299623250635
1.4,0.06,0.574381940324499,1,0.236923152033843,0.236923152033843,1.26734372124557
1.45,0.06,0.577715273657832,1,0.24037944367579,0.24037944367579,1.27173160929906
1.5,0.06,0.581048606991166,1,0.243855735317737,0.243855735317737,1.27616021236135
